distance_km,mw_arrival,tt_arrival,mode_of_transport
1.1,5,10,walking
5.1,20,25,transit
20,50,40,driving
7.4,0,15,transit
1,0,0,walking
12.4,2,2,cycling
12,15,15,driving
10,5,5,transit
15,90,120,driving
10,5,-85,transit
11.3,10,10,transit
6,-5,-15,transit
10,5,5,transit
6.6,-30,-15,transit
7.7,15,15,transit
1.2,10,25,walking
7.8,-15,-75,transit
6.2,60,0,transit
15,-90,-90,driving
16,-7,-2,transit
0.7,-10,-10,walking
26.8,45,75,driving
6.7,-15,-10,transit
4.2,0,0,transit
9.1,-30,0,driving
1.5,-5,-5,cycling
1,-10,-10,walking
10,15,5,transit
10.1,-30,-30,transit
1.4,2,5,walking
0.7,5,5,walking
5.1,-10,0,transit
1.6,-5,-5,walking
1,-60,-30,walking
7,-5,0,transit
1,-10,0,walking
1,0,2,walking
0.9,3,3,walking
44,2,5,transit
12,45,75,transit
0.9,-3,-3,walking
7.5,-5,0,transit
1,-30,-30,walking
5.3,-5,5,transit
8.1,-10,0,transit
2,0,0,transit
1,-3,-3,walking
6.5,-3,0,cycling
